Date,Zach,Pete,,Zach Total,Pete Total,Delta,,Zach Wins,Pete Wins,,Score,Zach Scores,Score,Pete Scores,,,,Date,Games Played,Pete Score,Zach Score
2024-09-19,,4,,397,397,0,,193,201,,,0,,0,,,,,0,,
2024-09-19,2,,,,,,,,,,1,89,1,97,,,,2024-09-19,6,4,7
2024-09-19,2,,,,,,,,,,2,66,2,66,,,,2024-09-20,8,4,12
2024-09-19,1,,,,,,,,,,4,32,4,36,,,,2024-09-29,4,2,4
2024-09-19,1,,Clara's Fault,,,,,,,,8,6,8,1,,,,2024-09-30,3,1,5
2024-09-19,1,,,,,,,,,,,,16,1,,,,2024-10-03,4,5,3
2024-09-20,,2,,,,,,,,,,,,,,,,2024-10-04,3,4,4
2024-09-20,4,,,,,,,,,,,,,,,,,2024-10-05,8,6,15
2024-09-20,2,,,,,,,,,,,,,,,,,2024-10-15,3,4,4
2024-09-20,2,,,,,,,,,,,,,,,,,2024-10-16,4,7,2
2024-09-20,,2,,,,,,,,,,,,,,,,2024-10-17,4,6,3
2024-09-20,1,,,,,,,,,,,,,,,,,2024-10-18,9,6,8
2024-09-20,1,,,,,,,,,,,,,,,,,2024-10-22,3,2,2
2024-09-20,2,,,,,,,,,,,,,,,,,2024-10-25,7,8,5
2024-09-29,2,,,,,,,,,,,,,,,,,2024-10-27,7,7,12
2024-09-29,,1,,,,,,,,,,,,,,,,2024-10-28,8,8,4
2024-09-29,,1,,,,,,,,,,,,,,,,2024-11-01,7,10,3
2024-09-29,2,,,,,,,,,,,,,,,,,2024-11-09,1,,1
2024-09-30,,1,,,,,,,,,,,,,,,,2024-11-11,3,1,2
2024-09-30,1,,,,,,,,,,,,,,,,,2024-11-14,8,5,13
2024-09-30,4,,,,,,,,,,,,,,,,,2024-11-17,2,2,1
2024-10-03,,4,,,,,,,,,,,,,,,,2025-02-23,1,,4
2024-10-03,1,,,,,,,,,,,,,,,,,2025-03-01,2,1,4
2024-10-03,,1,,,,,,,,,,,,,,,,2025-03-09,5,8,1
2024-10-03,2,,,,,,,,,,,,,,,,,2025-03-12,7,8,3
2024-10-04,,2,,,,,,,,,,,,,,,,2025-03-14,7,18,8
2024-10-04,,2,,,,,,,,,,,,,,,,2025-03-15,1,,8
2024-10-04,4,,,Gammon,,,,,,,,,,,,,,2025-03-16,6,6,5
2024-10-05,1,,,,,,,,,,,,,,,,,2025-04-06,10,9,18
2024-10-05,,2,,,,,,,,,,,,,,,,2025-04-09,6,9,1
